Color name,C*uv,X,Y,Z
Red,1/4,36.03,30.90,24.48
Red,2/4,41.95,30.90,15.28
Red,3/4,48.55,30.90,9.19
Red,Ref.,54.45,30.90,2.54
Red-yellow,1/4,60.78,61.38,52.57
Red-yellow,2/4,63.03,61.38,35.73
Red-yellow,3/4,65.02,61.38,20.64
Red-yellow,Ref.,68.22,61.38,7.91
Yellow,1/4,93.75,100.41,89.27
Yellow,2/4,91.17,100.41,62.45
Yellow,3/4,88.00,100.41,38.11
Yellow,Ref.,86.15,100.41,14.92
Yellow-green,1/4,84.07,94.72,85.50
Yellow-green,2/4,77.72,94.72,59.31
Yellow-green,3/4,71.61,94.72,36.22
Yellow-green,Ref.,65.62,94.72,15.28
Green,1/4,64.22,77.65,69.76
Green,2/4,54.54,77.65,46.58
Green,3/4,45.32,77.65,27.70
Green,Ref.,35.93,77.65,13.93
Green-cyan,1/4,74.58,84.76,94.56
Green-cyan,2/4,66.21,84.76,92.61
Green-cyan,3/4,58.29,84.76,91.06
Green-cyan,Ref.,50.38,84.76,86.02
Cyan,1/4,65.51,72.27,91.62
Cyan,2/4,60.35,72.27,99.51
Cyan,3/4,55.31,72.27,108.44
Cyan,Ref.,49.55,72.27,114.91
Cyan-blue,1/4,42.39,45.26,65.59
Cyan-blue,2/4,39.95,45.26,77.71
Cyan-blue,3/4,37.85,45.26,91.85
Cyan-blue,Ref.,37.25,45.26,111.12
Blue,1/4,10.77,10.77,23.69
Blue,2/4,11.53,10.77,39.05
Blue,3/4,14.36,10.77,59.71
Blue,Ref.,21.68,10.77,105.09
Blue-magenta,1/4,27.15,23.30,40.33
Blue-magenta,2/4,32.40,23.30,56.33
Blue-magenta,3/4,37.74,23.30,77.25
Blue-magenta,Ref.,44.79,23.30,105.63
Magenta,1/4,42.86,36.83,55.50
Magenta,2/4,50.64,36.83,67.45
Magenta,3/4,59.35,36.83,81.76
Magenta,Ref.,68.73,36.83,106.85
Magenta-red,1/4,41.74,35.53,45.24
Magenta-red,2/4,49.23,35.53,51.21
Magenta-red,3/4,56.77,35.53,53.13
Magenta-red,Ref.,64.36,35.53,53.66
